Stagione_ID,Lega,Competizione,Nome_Storico,Squadra_ID,Risultato_Testo
1,Serie A,Campionato,Analanta,3,1
1,Serie A,Campionato,PalerMavai Ma vieni Ma chi sono,26,2
1,Serie A,Campionato,Brodena,9,3
1,Serie A,Campionato,Coolinese FC,2,4
1,Serie A,Campionato,Cagliarithanos,4,5
1,Serie A,Campionato,I Leccendari,6,6
1,Serie A,Campionato,IRoman,5,7
1,Serie A,Campionato,u sole u mare Uventus,21,8
1,Serie A,Campionato,Genoasis,23,9
1,Serie A,Campionato,Interapia Intensiva,7,10
1,Serie A,Campionato,FiorenTeen,101,11
1,Serie A,Campionato,Bolagna,10,12
1,Serie A,Campionato,Maranza Calcio Monza,107,13
1,Serie A,Campionato,Napoleoni,17,14
1,Serie A,Campionato,Mantova la gatta al lardo,31,15
1,Serie A,Campionato,Fel-Lazio,22,16
1,Serie A,Campionato,Como Habilis,13,17
1,Serie A,Campionato,Leccester City FC,108,18
1,Serie A,Campionato,SalerniTotti AO,104,19
1,Serie A,Campionato,Why Always Milan,11,20
2,Tutte,Coppa Fanta a 20,Analanta,3,Eliminato ai Quarti
2,Tutte,Coppa Fanta a 20,Barisa,24,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,Bolagna,10,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,Hellas Terronia,14,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,Cagliarithanos,4,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Napoleoni,17,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Carrariise,87,Eliminato ai Gironi
2,Tutte,Coppa Fanta a 20,CE-SENI,105,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,VenEzio Greggio Fc,19,Eliminato ai Gironi
2,Tutte,Coppa Fanta a 20,FROSILVIONE,32,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,PalerMavai Ma vieni Ma chi sono,26,Eliminato ai Gironi
2,Tutte,Coppa Fanta a 20,Como Habilis,13,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Interapia Intensiva,7,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,Fel-Lazio,22,Eliminato in Semifinale
2,Tutte,Coppa Fanta a 20,Fiodena FC,110,Eliminato ai Gironi
2,Tutte,Coppa Fanta a 20,Fiorentonio Cartonio,101,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,KUNG FU PARMA CALCIO,1,Vincitore
2,Tutte,Coppa Fanta a 20,Brodena,9,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Il Lecce di Sabino Virgilio,102,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,Genoasis,23,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,IRoman,5,Eliminato in Semifinale
2,Tutte,Coppa Fanta a 20,Juve Scabbia,34,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,u sole u mare Uventus,21,Eliminato ai Quarti
2,Tutte,Coppa Fanta a 20,LA CRIMONESE,103,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,MantoPa,109,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Maranza Monza,107,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,MATERASSUOLO,15,Eliminato ai Quarti
2,Tutte,Coppa Fanta a 20,Why Always Milan,11,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Coolinese FC,2,Eliminato ai Quarti
2,Tutte,Coppa Fanta a 20,One Pisa,29,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,PALLERMO FC,35,Eliminato ai Gironi
2,Tutte,Coppa Fanta a 20,Parmalosi,104,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,PREDATORINO,12,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Cremonelle,16,Eliminato ai Gironi
2,Tutte,Coppa Fanta a 20,Pisa and Love,8,Eliminato agli Ottavi
2,Tutte,Coppa Fanta a 20,Sampdodoria,81,Eliminato ai Sedicesimi
2,Tutte,Coppa Fanta a 20,Spezial One,36,Eliminato ai Gironi
