Stagione,Squadra_ID,Ruolo,Giocatore,Squadra_Reale,Costo
2025/26,1,P,Scuffet,Pis,1
2025/26,1,P,Nicolas,Pis,1
2025/26,1,P,Semper,Pis,1
2025/26,1,D,Bastoni,Int,47
2025/26,1,D,Mancini,Rom,37
2025/26,1,D,Kolasinac,Ata,1
2025/26,1,D,Di Lorenzo,Nap,40
2025/26,1,D,Mina,Cag,13
2025/26,1,D,Valenti,Par,1
2025/26,1,D,Bartesaghi,Mil,1
2025/26,1,D,Troilo,Par,4
2025/26,1,C,Saelemaekers,Mil,20
2025/26,1,C,Musah,Ata,1
2025/26,1,C,Frendrup,Gen,20
2025/26,1,C,Ferguson,Bol,9
2025/26,1,C,Perrone,Com,3
2025/26,1,C,Neres,Nap,1
2025/26,1,C,Bernede,Ver,1
2025/26,1,C,Baturina,Com,26
2025/26,1,A,Martinez L.,Int,178
2025/26,1,A,Cancellieri,Laz,8
2025/26,1,A,Borrelli,Cag,3
2025/26,1,A,Durosinmi,Pis,99
2025/26,1,A,Kulenovic,Tor,17
2025/26,2,P,Perin,Juv,1
2025/26,2,P,Pinsoglio,Juv,97
2025/26,2,P,Di Gregorio,Juv,1
2025/26,2,D,Dimarco,Int,51
2025/26,2,D,Pavlovic,Mil,22
2025/26,2,D,Tsimikas,Rom,2
2025/26,2,D,Pongracic,Fio,11
2025/26,2,D,Baschirotto,Cre,15
2025/26,2,D,Dossena,Cag,5
2025/26,2,D,Pedersen,Tor,2
2025/26,2,D,Van Der Brempt,Com,1
2025/26,2,C,Zielinski,Int,1
2025/26,2,C,Cataldi,Laz,1
2025/26,2,C,El Shaarawy,Rom,2
2025/26,2,C,Orsolini,Bol,78
2025/26,2,C,Mkhitaryan,Int,9
2025/26,2,C,Lovric,Ver,12
2025/26,2,C,Zerbin,Cre,7
2025/26,2,C,Miller L.,Udi,1
2025/26,2,A,Vardy,Cre,61
2025/26,2,A,Raspadori,Ata,126
2025/26,2,A,Davis K.,Udi,27
2025/26,2,A,Almqvist,Par,1
2025/26,2,A,Moro L.,Sas,1
2025/26,3,P,Falcone,Lec,31
2025/26,3,P,Fruchtl,Lec,1
2025/26,3,P,Samooja,Lec,1
2025/26,3,D,Albiol,Pis,5
2025/26,3,D,Bianchetti,Cre,2
2025/26,3,D,Spinazzola,Nap,1
2025/26,3,D,Lirola,Ver,10
2025/26,3,D,Diego Carlos,Com,5
2025/26,3,D,Gutierrez,Nap,17
2025/26,3,D,Terracciano F.,Cre,6
2025/26,3,D,Ehizibue,Udi,17
2025/26,3,C,Loftus-Cheek,Mil,36
2025/26,3,C,Sergi Roberto,Com,1
2025/26,3,C,Cornet,Gen,17
2025/26,3,C,Harrison,Fio,27
2025/26,3,C,Ramadani,Lec,1
2025/26,3,C,Bernabè,Par,32
2025/26,3,C,Paz N.,Com,89
2025/26,3,C,Lorran,Pis,25
2025/26,3,A,David,Juv,175
2025/26,3,A,Sulemana K.,Ata,5
2025/26,3,A,Njie,Tor,3
2025/26,3,A,Addai,Com,7
2025/26,3,A,Aboukhlal,Tor,27
2025/26,4,P,Gollini,Rom,1
2025/26,4,P,Svilar,Rom,98
2025/26,4,P,Zelezny,Rom,1
2025/26,4,D,Luperto,Cre,13
2025/26,4,D,Buongiorno,Nap,47
2025/26,4,D,Calabresi,Pis,1
2025/26,4,D,Kalulu,Juv,32
2025/26,4,D,Cabal,Juv,1
2025/26,4,D,Beukema,Nap,19
2025/26,4,D,Dembelè A. *,Tor,1
2025/26,4,D,Kempf,Com,17
2025/26,4,C,Zambo Anguissa,Nap,25
2025/26,4,C,Elmas,Nap,49
