Squadra_ID,Nome_Squadra,Totale_Trofei,Campionati,Champions_League,Europa_League,Conference_League,Coppa_Fanta_a_20
1,KUNG FU PARMA CALCIO,3,1,1,0,0,1
2,Coolinese FC,2,1,1,0,0,0
3,Analanta,2,1,0,1,0,0
6,I Leccendari,2,0,0,1,1,0
7,Interapia Intensiva,2,0,1,0,1,0
20,SCOREGGIANA,2,1,1,0,0,0
4,Cagliarithanos,1,0,1,0,0,0
14,Hellas Terronia,1,0,0,1,0,0
16,Cremonelle,1,0,0,1,0,0
17,Napoleoni,1,0,0,0,1,0
23,Genoasis,1,1,0,0,0,0
24,Barisa,1,0,0,1,0,0
27,Andrea e Giugliano,1,1,0,0,0,0
28,Ospitaletto,1,1,0,0,0,0
30,Bacarpi Schitz,1,1,0,0,0,0
36,Spezial One,1,0,0,0,1,0
37,EMPOLIZIA MUNICIPALE,1,0,0,0,1,0
42,LanaRhoades Vicenza,1,0,0,0,0,1
43,SCARENATE L INFERNO,1,0,1,0,0,0
50,Lecco,1,0,0,1,0,0
62,FORLIPPO INZAGHI,1,0,1,0,0,0
66,Ravengers FC,1,0,0,1,0,0
86,Kakasertana,1,0,0,1,0,0
94,Trapani,1,0,0,0,1,0
59,PergoleTette,1,0,0,0,1,0
74,Ternani,1,0,0,0,1,0
91,US LATTINA CALCIO 1932,1,0,1,0,0,0
5,IRoman,0,0,0,0,0,0
8,Pisa and Love,0,0,0,0,0,0
9,Brodena,0,0,0,0,0,0
10,Bolagna,0,0,0,0,0,0
11,Why Always Milan,0,0,0,0,0,0
12,PREDATORINO,0,0,0,0,0,0
13,Como Habilis,0,0,0,0,0,0
15,MATERASSUOLO,0,0,0,0,0,0
18,FiorenToni Pepperoni,0,0,0,0,0,0
19,VenEzio Greggio Fc,0,0,0,0,0,0
21,u sole u mare Uventus,0,0,0,0,0,0
22,Fel-Lazio,0,0,0,0,0,0
25,Licorto Muso FC,0,0,0,0,0,0
26,PalerMavai Ma vieni Ma chi sono,0,0,0,0,0,0
29,PESCARAMUCCIA,0,0,0,0,0,0
31,Mantovai,0,0,0,0,0,0
32,FROSILVIONE,0,0,0,0,0,0
33,Monzarella e Pomodoro,0,0,0,0,0,0
34,Juve Scabbia,0,0,0,0,0,0
35,PadoVainCul,0,0,0,0,0,0
38,CARTAnzaro,0,0,0,0,0,0
39,FC CESENARTICO,0,0,0,0,0,0
40,Virtus Entella,0,0,0,0,0,0
41,Fc TiramiSudtirol,0,0,0,0,0,0
44,Ciolone Milano,0,0,0,0,0,0
45,El Dolomitazo,0,0,0,0,0,0
46,CITTASNELLA,0,0,0,0,0,0
47,Virtus Corona,0,0,0,0,0,0
48,Albanoleffe,0,0,0,0,0,0
49,AS Pizza Erminio,0,0,0,0,0,0
51,Communion Brescia,0,0,0,0,0,0
52,Aurora Pro Patriarcato,0,0,0,0,0,0
53,next Gengis Khan,0,0,0,0,0,0
54,Pro Tarzanelli,0,0,0,0,0,0
55,Triest-In Peace,0,0,0,0,0,0
56,FC Arzignano VAcchiappo,0,0,0,0,0,0
57,Lumezzanegger,0,0,0,0,0,0
58,Novara,0,0,0,0,0,0
60,Trento,0,0,0,0,0,0
61,AGNELLINO,0,0,0,0,0,0
63,Campobasta,0,0,0,0,0,0
64,PONTEDERA,0,0,0,0,0,0
65,Gubbio di Fango,0,0,0,0,0,0
67,Ascoli,0,0,0,0,0,0
68,AREZZENAL,0,0,0,0,0,0
69,Guidonia Montecelio,0,0,0,0,0,0
70,PineTonic,0,0,0,0,0,0
71,AcBra,0,0,0,0,0,0
72,PEsaROTTI,0,0,0,0,0,0
73,Rimiccoli,0,0,0,0,0,0
75,Perugia,0,0,0,0,0,0
76,Torres,0,0,0,0,0,0
77,piantinese,0,0,0,0,0,0
78,InterUn 23,0,0,0,0,0,0
79,NasPicerno,0,0,0,0,0,0
80,SiracUSA,0,0,0,0,0,0
81,Sampdodoria,0,0,0,0,0,0
82,Sambenedetta Domenica,0,0,0,0,0,0
83,Cassarano,0,0,0,0,0,0
84,Monopoly,0,0,0,0,0,0
85,Croton Fioc,0,0,0,0,0,0
87,Carrarese,0,0,0,0,0,0
88,BIANCAVESE,0,0,0,0,0,0
89,Benevengo,0,0,0,0,0,0
90,acCattania,0,0,0,0,0,0
92,Audace Cerignola,0,0,0,0,0,0
93,SorrEnd,0,0,0,0,0,0
95,Vosenza,0,0,0,0,0,0
96,PATATA-LANTA UN23,0,0,0,0,0,0
97,ALTAMOURINHO,0,0,0,0,0,0
98,Foggia,0,0,0,0,0,0
99,Salernitana,0,0,0,0,0,0
100,Con mollica o senza,0,0,0,0,0,0
