Nome_Società,ID_Squadra,prima inviolata,filotto iniziale,prima goleada,finalista di conference,primi passi,primo punto,primo scambio,biglietto per la conference,salvezza raggiunta,top 10,coppa f20: fase finale,veterano 1,senza paura,cinque su cinque,ammazzagrandi,bestia nera,re di conference,finalista di europa league,manita,biglietto per l'europa league,schiacciasassi,top 5,coppa f20: trentaduesimi,veterano 2,re di europa league,eroico,finalista di champions,fortino,promozione,talent scout,goleador,biglietto per la champions,miracolo,coppa f20: ottavi,coppa f20: sedicesimi,podio,dieci e lode,re di champions,fenice,finalista di coppa f20,olimpo,veterano 3,campione di serie a,campione di serie b,campione di serie c,re della coppa f20,double,rosa perfetta,bis nazionale,grand slam,triplete,tutta europa,Custode,Dannato,Titano,Trafitto,Abisso,Mecenate,Devastatore,Dominatore,Mercante,Sovrano
KUNG FU PARMA CALCIO,1,,,,,,,,,,X,X,,,,,,,,,X,,X,X,,,,X,,X,,,X,,X,X,X,,X,,X,X,,,X,,X,,,,,X,,,,,,,,,,,D
Coolinese FC,2,,,,,,,,,,X,X,X,,,,,,,,X,,X,X,,,,X,,,,,X,,,X,X,,X,,,,,X,,,,X,,,,,,,,,,,,,,,
Analanta,3,,,,,,,,,,X,X,X,,,,,,X,,X,,X,,,X,,,,,,,X,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,
Cagliarithanos,4,,,,,,,,,,X,X,X,,,,,,X,,X,,X,X,,,,X,,,,,X,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,
IRoman,5,,,,,,,,X,,X,X,X,,,,,,,,,,X,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,
I Leccendari,6,,,,X,,,,X,,X,X,X,,,,,X,X,,X,,X,X,,X,,,,,,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Interapia Intensiva,7,,,,X,,,,X,,X,,X,,,,,X,X,,X,,X,,,,,X,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Pisa and Love,8,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,X,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodena,9,,,,,,,,X,,X,X,X,,,,,,,,,,X,X,,,,,,X,,,X,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,
Bolagna,10,,,,,,,,,,X,X,X,,,,,,,,,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,D,,,,,,,
Why Always Milan,11,,,,,,,,X,,X,X,X,,,,,,,,,,X,X,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDATORINO,12,,,,,,,,,,X,,,,,,,,,,,,X,,,,,X,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Como Habilis,13,,,,,,,,,,X,,X,,,,,,,,X,,X,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
